074_gambelii	303_gambelii	302_turbinella
074_gambelii	303_gambelii	302_turbinella
074_gambelii	286_gambelii	284_turbinella
081_grisea	280_turbinella	276_gambelii
081_grisea	284_turbinella	270_gambelii
285_grisea	284_turbinella	303_gambelii
074_gambelii	276_gambelii	280_turbinella
285_grisea	283_grisea	303_gambelii
074_gambelii	276_gambelii	301_grisea
302_turbinella	283_grisea	275_gambelii
074_gambelii	077_gambelii	285_grisea
074_gambelii	303_gambelii	284_turbinella
086_grisea	284_turbinella	270_gambelii
283_grisea	280_turbinella	271_grisea
074_gambelii	276_gambelii	283_grisea
074_gambelii	303_gambelii	283_grisea
305_gambelii	276_gambelii	284_turbinella
074_gambelii	077_gambelii	069_grisea
271_grisea	301_grisea	279_turbinella
282_turbinella	064_turbinella	271_grisea
297_turbinella	283_grisea	304_gambelii
074_gambelii	276_gambelii	272_grisea
081_grisea	280_turbinella	070_gambelii
270_gambelii	303_gambelii	077_gambelii
074_gambelii	077_gambelii	283_grisea
274_grisea	283_grisea	275_gambelii
304_gambelii	303_gambelii	302_turbinella
274_grisea	058_turbinella	300_gambelii
074_gambelii	077_gambelii	305_gambelii
274_grisea	283_grisea	300_gambelii
285_grisea	088_turbinella	070_gambelii
271_grisea	280_turbinella	270_gambelii
074_gambelii	276_gambelii	058_turbinella
088_turbinella	064_turbinella	069_grisea
302_turbinella	283_grisea	304_gambelii
290_gambelii	276_gambelii	284_turbinella
074_gambelii	077_gambelii	272_grisea
074_gambelii	303_gambelii	298_turbinella
274_grisea	284_turbinella	303_gambelii
304_gambelii	303_gambelii	298_turbinella
279_turbinella	064_turbinella	271_grisea
270_gambelii	276_gambelii	086_grisea
297_turbinella	284_turbinella	304_gambelii
074_gambelii	303_gambelii	058_turbinella
081_grisea	284_turbinella	286_gambelii
285_grisea	280_turbinella	070_gambelii
271_grisea	061_turbinella	285_grisea
428_grisea	436_grisea	432_turbinella
447_turbinella	432_turbinella	436_grisea
449_grisea	432_turbinella	436_grisea
451_turbinella	432_turbinella	436_grisea
428_grisea	434_grisea	432_turbinella
428_grisea	439_grisea	447_turbinella
313_grisea	318_grisea	319_gambelii
313_grisea	327_grisea	319_gambelii
